"participantID","block","randomSeed","letterSeparation","letterEccentricity","itemRate","condition","letterOrder1","target1","response1","responseLetter1","RT1","letterOrder2","target2","response2","responseLetter2","RT2","endTime","oneQueriedFirst"
"RA","1",209225.5298,8.48528137423857,6,12,"2","8,14,7,12,9,4,21,13,1,3,22,19,17,23,16,20,6,18,5,24,2,11,10,15","14",24,"15","2.25053467601538","10,18,3,14,19,12,2,1,5,21,13,11,8,7,6,24,15,16,20,17,4,22,9,23","14",14,"7","4.29073615907691",735850.47788998,FALSE
"RA","1",209225.5298,8.48528137423857,6,12,"2","3,16,1,14,20,11,2,22,15,6,17,12,19,18,9,23,8,7,10,21,5,24,13,4","13",14,"18","2.29569168481976","16,17,22,19,9,18,2,4,8,10,11,3,21,15,7,5,23,20,6,1,12,14,13,24","13",21,"12","4.38426638394594",735850.47788998,FALSE
"RA","1",209225.5298,8.48528137423857,6,12,"2","10,6,3,2,14,15,5,8,22,23,1,12,18,16,20,21,19,13,9,17,4,7,24,11","12",13,"18","2.26931565487757","17,18,16,3,9,10,4,24,21,23,13,22,7,14,8,19,2,5,12,20,15,11,1,6","12",6,"10","3.68503894889727",735850.47788998,FALSE
"RA","1",209225.5298,8.48528137423857,6,12,"2","7,12,20,3,19,5,21,1,9,23,22,4,18,15,16,17,10,24,8,14,11,13,2,6","13",14,"15","5.57996484800242","3,17,16,10,21,19,12,23,8,9,13,7,20,15,14,18,24,5,6,4,22,11,2,1","13",13,"20","3.98855032003485",735850.47788998,TRUE
"RA","1",209225.5298,8.48528137423857,6,12,"2","20,2,23,15,12,14,19,9,10,17,5,13,22,8,16,7,11,4,18,1,21,6,24,3","10",10,"17","6.40962316910736","20,19,14,23,1,16,9,17,2,5,12,8,7,18,15,6,22,3,24,11,10,4,21,13","10",11,"12","3.91394578106701",735850.47788998,TRUE
"RA","1",209225.5298,8.48528137423857,6,12,"2","4,7,17,2,12,23,18,9,19,3,6,13,16,24,5,22,20,15,11,14,1,10,21,8","12",5,"12","3.2052527340129","11,14,4,21,17,6,19,5,22,7,9,13,18,16,3,23,20,2,8,15,10,24,12,1","12",14,"16","5.06880024797283",735850.47788998,FALSE
"RA","1",209225.5298,8.48528137423857,6,12,"2","5,2,16,20,13,15,23,12,22,1,14,18,4,21,17,19,10,9,24,3,7,6,8,11","17",16,"19","2.51844341703691","18,4,2,11,9,17,6,14,10,12,24,15,23,3,19,5,21,1,8,7,13,16,22,20","17",18,"1","4.46106129791588",735850.47788998,FALSE
"RA","1",209225.5298,8.48528137423857,6,12,"2","9,4,22,7,2,12,14,18,10,5,11,3,21,1,13,24,8,17,16,19,20,23,6,15","15",24,"15","4.1583807549905","22,17,18,24,4,20,16,19,14,15,1,2,8,11,9,12,21,5,13,23,7,6,10,3","15",2,"17","8.31241780985147",735850.47788998,FALSE
"RA","1",209225.5298,8.48528137423857,6,12,"2","17,12,15,1,18,5,3,4,11,9,14,10,20,22,21,16,8,7,13,19,24,2,6,23","8",8,"4","4.53584089013748","23,19,3,12,5,4,16,15,21,18,7,2,1,17,24,13,6,9,11,20,22,14,10,8","8",10,"18","2.19219910306856",735850.47788998,TRUE
"RA","1",209225.5298,8.48528137423857,6,12,"2","4,2,19,20,6,3,7,12,1,23,21,9,11,18,13,15,16,8,24,17,14,5,10,22","17",16,"15","2.97293014312163","1,19,15,9,14,8,7,4,22,5,23,21,2,24,20,3,6,13,17,16,11,12,10,18","17",20,"16","16.1261125931051",735850.47788998,TRUE
"RA","1",209225.5298,8.48528137423857,6,12,"2","23,2,11,16,14,19,10,17,12,6,1,20,3,4,5,8,7,18,24,22,21,15,13,9","7",9,"12","2.60541649418883","20,2,17,22,12,5,6,18,10,8,1,15,4,21,13,7,24,11,3,16,9,23,14,19","7",8,"18","4.21472401404753",735850.47788998,FALSE
"RA","1",209225.5298,8.48528137423857,6,12,"2","13,21,9,14,15,3,19,16,23,20,24,10,11,6,18,2,8,4,12,7,17,1,22,5","7",18,"4","6.59324542805552","5,19,8,12,13,18,16,4,21,6,17,3,24,20,23,2,9,1,14,22,11,15,10,7","7",7,"16","3.65599583298899",735850.47788998,TRUE
"RA","1",209225.5298,8.48528137423857,6,12,"2","8,9,6,24,19,4,14,17,12,23,16,5,18,11,3,10,15,22,2,7,13,21,1,20","18",19,"2","2.90116034215316","9,8,15,6,17,18,24,2,12,20,10,11,3,1,14,22,21,19,4,7,13,16,5,23","18",19,"4","5.08638412505388",735850.47788998,FALSE
"RA","1",209225.5298,8.48528137423857,6,12,"2","3,18,5,12,16,1,11,23,14,19,24,2,20,22,15,8,6,17,10,13,4,21,9,7","12",12,"2","4.07649472798221","6,17,7,9,13,3,23,4,22,2,21,5,19,15,20,8,12,11,24,14,18,10,16,1","12",17,"12","2.25424819905311",735850.47788998,TRUE
"RA","1",209225.5298,8.48528137423857,6,12,"2","8,22,1,11,10,13,18,23,6,4,20,19,24,14,17,9,7,2,15,16,21,5,12,3","18",19,"15","3.87921038712375","1,21,18,24,9,7,20,14,23,19,5,2,16,17,22,15,11,4,12,8,3,13,6,10","18",19,"12","2.43755483091809",735850.47788998,TRUE
"RA","1",209225.5298,8.48528137423857,6,12,"2","17,23,12,22,16,20,7,6,15,5,21,3,10,18,24,13,8,19,4,2,9,14,11,1","7",1,"17","2.7035882670898","21,10,19,12,9,3,6,15,23,1,14,4,13,5,8,18,11,16,17,20,24,22,2,7","7",18,"16","4.47127715800889",735850.47788998,FALSE
"RA","1",209225.5298,8.48528137423857,6,12,"2","14,22,2,21,3,12,19,20,13,16,4,1,11,15,5,23,8,24,17,9,6,7,10,18","17",1,"14","5.22244488098659","11,2,5,13,1,10,18,4,23,7,21,22,9,3,20,19,17,12,8,6,15,16,14,24","17",18,"12","3.4481195260305",735850.47788998,TRUE
"RA","1",209225.5298,8.48528137423857,6,12,"2","13,14,15,10,6,19,20,22,23,21,7,18,12,9,8,16,11,17,1,24,4,3,5,2","13",8,"22","5.74634375586174","23,4,12,2,6,1,5,3,17,7,13,20,8,22,24,10,9,14,21,15,19,11,16,18","13",13,"8","3.46662599197589",735850.47788998,TRUE
"RA","1",209225.5298,8.48528137423857,6,12,"2","18,3,13,19,7,12,10,23,22,21,15,4,9,6,20,8,14,24,16,2,11,1,5,17","7",3,"13","1.9201868949458","2,9,17,22,4,20,1,6,15,14,18,16,11,7,23,10,12,19,5,13,21,24,8,3","7",16,"10","3.66432485287078",735850.47788998,FALSE
"RA","1",209225.5298,8.48528137423857,6,12,"2","4,21,24,12,18,10,17,20,1,15,5,14,11,19,16,7,2,13,9,8,3,23,6,22","11",10,"15","2.74534301203676","3,7,20,15,10,5,11,1,17,22,8,12,2,13,6,18,23,24,21,16,4,14,9,19","11",12,"12","5.71389503218234",735850.47788998,FALSE
