"participantID","block","randomSeed","letterSeparation","letterEccentricity","itemRate","condition","expDegrees","letterOrder1","target1","response1","responseLetter1","RT1","letterOrder2","target2","response2","responseLetter2","RT2","endTime","resp1otherStream","resp2otherStream","condName","oneQueriedFirst"
"AU","1",216039.9,8.485281,6,8,"3","0,180","17,21,13,22,10,6,8,3,20,7,1,24,18,12,4,23,16,9,15,19,11,14,5,2","9",9,"20","4.26677245297469","6,9,24,2,21,4,7,11,20,15,10,14,16,5,17,12,3,23,19,13,18,1,8,22","9",2,"9","6.60263646184467",736194.6,9,18,"Inverted",FALSE
"AU","1",216039.9,8.485281,6,8,"3","0,180","7,4,1,5,11,12,23,10,21,14,16,2,18,6,8,17,19,24,22,13,9,20,3,15","18",19,"22","2.20035779383034","23,10,8,4,7,22,19,15,6,13,5,12,21,3,1,17,24,14,11,20,9,16,2,18","18",18,"14","4.56779905688018",736194.6,6,10,"Inverted",FALSE
"AU","1",216039.9,8.485281,6,8,"3","0,180","8,4,14,20,6,16,9,11,15,2,3,18,1,19,21,12,13,17,22,10,24,7,5,23","7",8,"11","1.68334786314517","24,22,18,1,2,15,16,21,12,11,13,9,20,14,23,17,4,6,10,5,8,7,19,3","7",7,"16","3.66711782198399",736194.6,10,6,"Inverted",FALSE
"AU","1",216039.9,8.485281,6,8,"3","0,180","17,12,3,14,24,23,18,20,4,5,11,6,22,16,1,7,19,2,15,13,21,10,9,8","9",9,"4","3.72974706604145","9,24,10,22,5,15,1,8,17,16,6,3,4,7,21,14,18,12,13,19,23,20,2,11","9",10,"16","1.74783212714829",736194.6,13,14,"Inverted",TRUE
"AU","1",216039.9,8.485281,6,8,"3","0,180","7,16,3,19,15,24,10,5,17,20,13,12,11,14,4,8,2,1,18,23,6,21,9,22","13",14,"14","2.06336263613775","10,19,16,2,13,4,9,1,24,14,21,23,22,15,20,3,6,5,18,7,8,17,11,12","13",14,"15","3.31938113411888",736194.6,10,5,"Inverted",FALSE
"AU","1",216039.9,8.485281,6,8,"3","0,180","14,12,22,23,6,1,20,19,5,18,17,16,15,21,8,11,7,13,9,2,4,3,10,24","7",8,"19","4.52221664600074","2,12,22,16,1,15,7,14,24,3,11,8,5,17,21,9,20,10,23,18,13,4,19,6","7",2,"12","1.96357902488671",736194.6,23,2,"Inverted",TRUE
"AU","1",216039.9,8.485281,6,8,"3","0,180","24,1,5,20,2,3,14,10,13,22,8,17,15,4,19,23,21,18,7,11,16,9,12,6","16",23,"12","1.32642219914123","7,4,20,6,16,15,24,3,1,2,22,5,18,8,14,11,17,12,10,23,21,13,9,19","16",15,"14","2.58289748895913",736194.6,18,7,"Inverted",FALSE
"AU","1",216039.9,8.485281,6,8,"3","0,180","13,8,7,14,4,18,11,3,2,23,9,5,24,6,21,16,22,1,20,12,15,10,17,19","11",11,"9","2.25439980416559","5,4,15,18,3,20,23,13,21,24,14,16,9,10,19,8,6,11,1,17,7,12,22,2","11",11,"14","3.41415191302076",736194.6,13,4,"Inverted",FALSE
"AU","1",216039.9,8.485281,6,8,"3","0,180","10,17,5,21,18,22,16,8,14,2,23,12,19,1,15,4,9,20,11,7,24,13,3,6","12",12,"12","3.64991643186659","4,6,24,20,12,16,23,10,11,9,5,22,1,2,18,21,17,8,7,14,15,19,3,13","12",12,"22","2.51283678389154",736194.6,5,6,"Inverted",TRUE
"AU","1",216039.9,8.485281,6,8,"3","0,180","7,17,14,2,8,3,1,6,16,23,5,15,11,13,20,21,12,19,10,24,4,18,22,9","9",9,"16","2.14078075601719","15,16,17,21,12,3,1,5,10,19,13,22,23,8,20,18,14,4,11,9,7,6,24,2","9",5,"12","3.82919254992157",736194.6,2,17,"Inverted",FALSE
